,gene,lr,p,ddf,p_corrected
15997,TNS4,0.3776165852302711,0.538881567806491,1.0,0.903525473457893
15998,TNXB,2.5025685438845358,0.1136607874539202,1.0,0.6692770352460388
15999,TOB1,0.7601668794998204,0.38327630318544037,1.0,0.8536583991935797
16000,TOB2,0.0404592953473184,0.8405852265454754,1.0,0.9716896790273848
16001,TOE1,0.363478392424895,0.546580743131716,1.0,0.9050959920142491
16002,TOGARAM1,1.3862611108593228,0.2390375246292544,1.0,0.7781241996536863
16003,TOGARAM2,2.6746667348559185,0.10195666735584193,1.0,0.6538108964216173
16004,TOLLIP,3.8951807315197584,0.04842482869753284,1.0,0.5536424175697484
16005,TOM1,1.525104849878744,0.21684860880570028,1.0,0.759287213551359
16006,TOM1L1,0.00021954037038085517,0.9881782609902994,1.0,0.9982108121057928
16007,TOM1L2,0.38580279785605853,0.5345139219120126,1.0,0.9027774389072489
16008,TOMM20,0.3264416317360883,0.5677619349743258,1.0,0.9081816292669402
16009,TOMM20L,0.6548897072914315,0.41836988728003255,1.0,0.8676706304360946
16010,TOMM22,0.560034663516717,0.45424627644793736,1.0,0.8835755747034181
16011,TOMM34,1.7960598625168132,0.18018956910901912,1.0,0.7289682208378486
16012,TOMM40,0.3537166237931615,0.5520167422310374,1.0,0.9050959920142491
16013,TOMM40L,1.3869066402714907,0.23892818938677957,1.0,0.7781241996536863
16014,TOMM5,0.5463485757500166,0.4598135142827189,1.0,0.8857741840780349
16015,TOMM6,2.300025772628487,0.12937185218159533,1.0,0.6828855735038161
16016,TOMM7,0.7302349743677041,0.3928070347604937,1.0,0.8576995505144553
16017,TOMM70,2.5798937565054985,0.10822892610852694,1.0,0.6621632339377757
16018,TONSL,0.7331272159358377,0.39187141037016615,1.0,0.8576995505144553
16019,TOP1,1.835397452456391,0.17549135338122218,1.0,0.7254363770975506
16020,TOP1MT,0.0012116094994780724,0.9722326966911786,1.0,0.9959357782011633
16021,TOP2A,0.12214685948674742,0.726717611701849,1.0,0.9476291802639252
16022,TOP2B,0.41427970016297877,0.5198052523874142,1.0,0.9000769863940072
16023,TOP3A,0.6065487530033806,0.4360902327067402,1.0,0.8764458960694996
16024,TOP3B,2.345385122582911,0.12565450402663778,1.0,0.6797524907575048
16025,TOPAZ1,0.004452426420812117,0.9467994336827039,1.0,0.9916954260135791
16026,TOPBP1,0.07105725681776676,0.7898035902262981,1.0,0.9604261874867109
