,gene,lr,p,ddf,p_corrected
173,ACP3,2.8352993038661225,0.09221361864736238,1.0,0.42807007072986264
174,ACP4,0.5762791465183454,0.44777448367695194,1.0,0.781944841038765
175,ACP5,0.4716655940635519,0.4922219137328864,1.0,0.8108844957527247
176,ACP6,0.24064542348492068,0.6237403441110041,1.0,0.875036697010993
177,ACP7,2.421910277755842,0.11964894499263384,1.0,0.47565797105330554
178,ACR,0.7270977119605959,0.3938255536517655,1.0,0.746007787698894
179,ACRBP,0.19705193357185635,0.6571110377158822,1.0,0.8887566511026627
180,ACRV1,0.40319600225461727,0.5254433069743898,1.0,0.8279740611080857
181,ACSBG1,0.5281568714451623,0.4673827813277738,1.0,0.7960301554411064
182,ACSBG2,0.4129945139945903,0.5204535081420335,1.0,0.825663939126174
183,ACSF2,3.298456055053066,0.06934503367822956,1.0,0.3842563870991863
184,ACSF3,0.0990161316369722,0.753013524275412,1.0,0.9277344241571178
185,ACSL1,0.3401071290543314,0.559767391527958,1.0,0.8444398816799027
186,ACSL3,0.03225563660066655,0.8574677487035115,1.0,0.9640065717929122
187,ACSL4,0.0008013720344024478,0.977416089153196,1.0,0.9939354030230501
188,ACSL5,0.0016257638992556167,0.9678374010505872,1.0,0.992139399239354
189,ACSL6,0.06997857495252902,0.79136797747853,1.0,0.9437701673290894
190,ACSM1,0.15810827451718978,0.6909041877290787,1.0,0.902722000106734
191,ACSM2A,2.900232811122123,0.08856676012767666,1.0,0.4196607872696443
192,ACSM2B,2.15895100070793,0.14174142604138054,1.0,0.5074200598586909
193,ACSM3,0.03779463063733601,0.8458561037919364,1.0,0.9602076109716609
194,ACSM4,0.6039293907572301,0.43708270077883304,1.0,0.7728276256319501
195,ACSM5,0.6619597622589026,0.4158689249478187,1.0,0.7610892107580366
196,ACSM6,0.8902567782358801,0.34540773293434757,1.0,0.713738452669768
197,ACSS1,0.15363939494864098,0.6950814037952677,1.0,0.9045763477943185
198,ACSS2,0.08501334778861747,0.7706150447759582,1.0,0.9358782098506524
199,ACSS3,3.452894718094967,0.06314109632627161,1.0,0.367966886051981
200,ACTA1,0.3095513964985912,0.5779555968909796,1.0,0.8531611421987855
201,ACTA2,1.438697087562332,0.23035029639080262,1.0,0.6103527516337725
202,ACTB,0.04622689379152689,0.8297638848663951,1.0,0.9559919430572711
203,ACTBL2,0.06480177112257479,0.7990614738005495,1.0,0.9462908336127235
204,ACTC1,2.74844833448833,0.09734885989308772,1.0,0.4380347555861977
205,ACTG1,0.3478149846018823,0.5553526279780738,1.0,0.8431850500247685
206,ACTG2,1.685574135799925,0.19418542447543724,1.0,0.5704050426200032
207,ACTL10,2.7999721554476764,0.09426594389563626,1.0,0.4319125677977749
208,ACTL6A,0.16465053213801184,0.6849104813444853,1.0,0.9001773418142935
209,ACTL6B,0.27422113964416894,0.6005141488018328,1.0,0.8662150311946742
210,ACTL7A,2.320474783182135,0.12768104934295957,1.0,0.4885068719222577
211,ACTL7B,0.8919398435193671,0.3449521695948474,1.0,0.7132936422250358
212,ACTL8,1.1635004971963099,0.28074074937577365,1.0,0.6589726050351589
213,ACTL9,0.341440624390998,0.5589988442732453,1.0,0.8442250264622647
214,ACTMAP,0.0519511435691129,0.8197022652335361,1.0,0.9529813788538352
215,ACTN1,0.21567289930385414,0.6423569180255704,1.0,0.8827451165150778
216,ACTN2,0.06788190331144506,0.7944460633951305,1.0,0.9446990604034883
217,ACTN4,0.0867625164448782,0.7683340130960475,1.0,0.9347014189371999
218,ACTR10,0.033884099116676225,0.8539535668904705,1.0,0.962738269463158
219,ACTR1A,5.370209364957873,0.020483518780242148,1.0,0.23103956268278192
220,ACTR1B,1.0198517840503882,0.3125541689641921,1.0,0.6879127223495133
221,ACTR2,3.9084778468215973,0.04804309256352024,1.0,0.3264431257017547
222,ACTR3,1.369818861950307,0.2418430081606796,1.0,0.6226825867602839
223,ACTR3B,0.041484760268303944,0.8386050727553935,1.0,0.9577781999232794
224,ACTR3C,1.3103442973272195,0.2523323279224528,1.0,0.6336371062171642
225,ACTR5,0.1163673089272379,0.7330083303371127,1.0,0.9187044595758749
226,ACTR6,6.660088377563397,0.009859602553239798,1.0,0.16490045647885046
227,ACTR8,0.04923314458551431,0.8244030720667129,1.0,0.9549670707972786
228,ACTRT1,13.834289258371427,0.0001996590883760121,1.0,0.024005428292572854
229,ACTRT2,0.1181484286205432,0.7310514091238267,1.0,0.9187022500292443
230,ACTRT3,0.06067394393153336,0.8054338981603952,1.0,0.9478433342862858
231,ACVR1,0.09142354186474222,0.7623751579329618,1.0,0.9321778419498639
232,ACVR1B,2.9807202614581456,0.08426176742703619,1.0,0.41109264108551447
233,ACVR1C,0.3958982618501068,0.5292152044966503,1.0,0.8304137923954613
234,ACVR2A,0.11476633453708018,0.7347816444328756,1.0,0.9196093722847674
235,ACVR2B,1.846952041911436,0.1741383064571571,1.0,0.5482173817360573
236,ACVRL1,0.7722572156028491,0.37951966917222946,1.0,0.7371421573619403
237,ACY1,3.533803409543225,0.0601297064230786,1.0,0.36167175663459294
238,ACY3,0.2826891432011962,0.5949440497508831,1.0,0.8625405732750026
239,ACYP1,1.1698196593229113,0.2794382987564852,1.0,0.6580228379597182
240,ACYP2,0.987610542473476,0.3203270808490096,1.0,0.6946335455888057
241,ADA,1.7764530222721078,0.18258547875178716,1.0,0.5579077498650276
242,ADA2,0.8616304165745987,0.3532828330100284,1.0,0.7200845835544702
243,ADAD1,0.0008097978789010085,0.9772977047778959,1.0,0.9939354030230501
244,ADAD2,0.32709964347327514,0.567371934693269,1.0,0.84818436278406
245,ADAL,1.120574560334262,0.2897947698863361,1.0,0.6674311200925445
