,gene,lr,p,ddf,p_corrected
126,ACADVL,0.6393000480284172,0.42396437359734296,1.0,0.804084051855186
127,ACAN,0.8531930727808685,0.3556505996101347,1.0,0.759215771192197
128,ACAP1,0.4762976782203623,0.4901041195679755,1.0,0.836701554088487
129,ACAP2,0.6225182519792725,0.4301130243624024,1.0,0.8057550188171229
130,ACAP3,3.774720194978727,0.052032602811839974,1.0,0.4043196579750742
131,ACAT1,0.38122808673369946,0.5369467169000147,1.0,0.8575162327823944
132,ACAT2,1.307489104805427,0.2528497702672797,1.0,0.6828223201970838
133,ACBD3,1.1606233570219047,0.2813362991915204,1.0,0.7083836794813254
134,ACBD4,4.28912355751072,0.03835693344541747,1.0,0.3585545461030083
135,ACBD5,1.0104478924017712,0.31479556177115914,1.0,0.7323930448704987
136,ACBD6,0.7618401468103002,0.38275326624845707,1.0,0.7772651644616125
137,ACBD7,0.06165103906209879,0.8039051826442078,1.0,0.9560964259122047
138,ACCS,0.397309977504392,0.5284817766047499,1.0,0.8540366791113346
139,ACCSL,0.0823356032854008,0.774156874917931,1.0,0.9452069611495406
140,ACD,18.095230329190144,2.1012713446510984e-05,1.0,0.010692469328067448
141,ACE,0.05254122334599742,0.8186989204672562,1.0,0.9590257677928068
142,ACE2,0.4401394540786896,0.5070551544997274,1.0,0.844447979566999
143,ACER1,0.18244698862827136,0.6692787163264101,1.0,0.909794475095047
144,ACER2,0.004993528288196103,0.9436644556111328,1.0,0.9884294791974529
145,ACER3,1.9161192880837916,0.16628509959361149,1.0,0.5957844338857778
146,ACHE,0.053928388636904856,0.8163633649146511,1.0,0.958306850061293
147,ACIN1,4.884692168359834,0.02709586585228625,1.0,0.31996385941191263
148,ACKR1,0.046869701337300285,0.8286026128332962,1.0,0.9616155977275644
149,ACKR2,0.04650467806754932,0.8292610200949568,1.0,0.9617229077663797
150,ACKR3,0.60858726214542,0.4353202272594531,1.0,0.8085361609647367
151,ACKR4,2.459756492690758,0.1167968875595723,1.0,0.5290316804262417
152,ACLY,2.306166420261434,0.128861514465718,1.0,0.5451362405307453
153,ACMSD,1.3527737068775423,0.2447937983707811,1.0,0.6766688730379655
154,ACO1,1.644951288873017,0.1996474829887174,1.0,0.6314547455210543
155,ACO2,0.1145599332439815,0.735011265557821,1.0,0.9321826455573174
156,ACOD1,0.5258357026768863,0.4683628975941706,1.0,0.8274097365390364
157,ACOT1,1.3502843313146968,0.24522841577964893,1.0,0.6772395852125209
158,ACOT11,3.3024368866472287,0.06917718620242938,1.0,0.4439804274829792
159,ACOT12,0.0034540304636720975,0.9531345070149403,1.0,0.9905091632259928
160,ACOT13,0.0037116041849003523,0.9514205827315184,1.0,0.9901712486675828
161,ACOT2,2.0123130558756657,0.15602727463824426,1.0,0.5846509070707196
162,ACOT4,0.0009794887023417687,0.9750328549762027,1.0,0.9949523099975476
163,ACOT6,1.4750247562101322,0.22455457070023555,1.0,0.6584404740963627
164,ACOT7,1.004329138275807,0.31626524568179026,1.0,0.7327953425257104
165,ACOT8,1.781672269822593,0.18194411534892282,1.0,0.614440092299013
166,ACOT9,0.6929207907719501,0.4051726847764965,1.0,0.7923884998847529
167,ACOX1,0.012437349376796192,0.9112017351919088,1.0,0.9814010593307593
168,ACOX2,0.04421499376576321,0.8334541259956936,1.0,0.9632587919521935
169,ACOX3,0.15227079898409102,0.6963746784683653,1.0,0.9195158315878751
170,ACOXL,0.6827706532740194,0.40863428927685597,1.0,0.7951488026421893
171,ACP1,0.0003976486586907413,0.9840903348042939,1.0,0.9968480033152399
172,ACP2,6.908138107801278,0.00858042946463564,1.0,0.20623137485176887
173,ACP3,0.01905211361986403,0.8902171868016395,1.0,0.9764228036462548
174,ACP4,0.10289587574970938,0.7483817624482236,1.0,0.9364170655017064
175,ACP5,1.085975642968151,0.29736459949601185,1.0,0.7197694369426435
176,ACP6,1.6027097459327706,0.20551962259537415,1.0,0.6383509728677387
177,ACP7,0.2500525071523043,0.6170381079828758,1.0,0.8902486451179037
178,ACR,0.8000445356547061,0.37108005442856096,1.0,0.7697296452635286
179,ACRBP,0.18908177529237946,0.6636819491543553,1.0,0.9078459053427786
180,ACRV1,2.983128260912963,0.08413651055201568,1.0,0.47691637585340524
181,ACSBG1,0.07482733037386424,0.7844336548858715,1.0,0.9485539725558674
182,ACSBG2,0.654824463814748,0.4183930704856351,1.0,0.800642590023548
183,ACSF2,1.9026702092874075,0.16777974196253828,1.0,0.5979828707099089
184,ACSF3,0.7305787547661566,0.39269565586086685,1.0,0.7848490591776673
185,ACSL1,0.05999859064877455,0.8064981680577806,1.0,0.956662561323511
186,ACSL3,0.01686238615820912,0.896680949120841,1.0,0.9776772692796353
187,ACSL4,0.44481319188798807,0.504808434558722,1.0,0.8431229953293883
188,ACSL5,1.6384910073275023,0.2005326337070383,1.0,0.6327876771241796
189,ACSL6,0.10277889426924958,0.7485199983440108,1.0,0.9364170655017064
190,ACSM1,2.3501709533124995,0.12526926914248526,1.0,0.5402284661374959
191,ACSM2A,0.17631186464450366,0.6745621139038327,1.0,0.910639026145532
192,ACSM2B,0.29487116724567386,0.5871157488926004,1.0,0.878739802419916
193,ACSM3,2.701563428426198,0.10024989607969778,1.0,0.5037783853559301
194,ACSM4,1.529499348419904,0.2161875991654758,1.0,0.6500945913818648
195,ACSM5,0.20079391264994229,0.6540807843411647,1.0,0.9043691304336731
196,ACSM6,0.5220829579448036,0.46995450144332107,1.0,0.8286199060197553
197,ACSS1,0.11793928271072218,0.7312803402775121,1.0,0.9318274743473172
198,ACSS2,0.8709601030077465,0.3506896486367779,1.0,0.7562395740672011
199,ACSS3,0.7130657507464093,0.39842793183435377,1.0,0.7873488841463357
200,ACTA1,2.5038659065480715,0.1135672133891534,1.0,0.5226439458555096
